Date,Open,High,Low,Close,Adj Close,Volume
2015-10-28,43.924999,44.689999,43.435001,44.009998,39.393661,8010336
2015-10-29,45.000000,45.180000,43.330002,44.330002,39.680099,7715439
2015-10-30,44.615002,44.744999,43.700001,44.145000,39.514507,6929149
2015-11-02,43.720001,44.755001,43.660000,44.619999,39.939682,5501571
2015-11-03,44.755001,46.240002,44.310001,46.240002,41.389755,8457023
2015-11-04,46.369999,47.160000,46.139999,46.294998,41.438984,7931373
2015-11-05,46.215000,46.474998,45.580002,46.130001,41.291294,5601707
2015-11-06,46.215000,46.619999,45.900002,46.235001,41.385284,5579548
2015-11-09,46.180000,46.919998,45.919998,45.919998,41.103321,4312616
2015-11-10,46.145000,46.400002,45.685001,46.014999,41.188354,4348632
2015-11-11,46.040001,46.525002,45.695000,46.040001,41.210739,3835105
2015-11-12,45.865002,46.174999,44.869999,44.935001,40.221642,6456896
2015-11-13,44.599998,45.299999,43.814999,44.435001,39.774090,5776604
2015-11-16,44.185001,45.455002,44.125000,44.775002,40.078423,5249458
2015-11-17,45.599998,46.465000,45.365002,46.455002,41.582207,7124731
2015-11-18,45.959999,46.970001,45.855000,46.660000,41.765705,5567625
2015-11-19,46.990002,47.230000,46.224998,46.599998,41.711994,5982373
2015-11-20,46.439999,46.889999,46.119999,46.255001,41.403187,7070673
2015-11-23,45.794998,46.150002,45.205002,45.764999,40.964581,6338272
2015-11-24,45.384998,46.195000,45.150002,46.084999,41.251015,6100724
2015-11-25,46.130001,46.750000,45.959999,46.349998,41.488216,5699290
2015-11-26,46.000000,47.250000,45.900002,47.029999,42.096889,5331188
2015-11-27,46.525002,47.139999,46.470001,46.619999,41.729900,5184900
2015-11-30,46.009998,47.294998,45.935001,47.000000,42.070034,7587181
2015-12-01,46.884998,47.150002,46.615002,46.790001,41.882069,6446624
2015-12-02,46.514999,47.400002,46.514999,46.650002,41.756752,6642800
2015-12-03,46.299999,47.160000,44.465000,44.465000,39.800941,15093675
2015-12-04,44.150002,45.084999,43.125000,43.455002,38.896885,12401186
2015-12-07,43.355000,43.555000,42.520000,42.840000,38.346397,9021818
2015-12-08,42.505001,43.000000,41.630001,42.430000,37.979397,10704602
2015-12-09,42.599998,43.779999,42.035000,42.825001,38.332966,8579642
2015-12-10,42.720001,43.625000,42.605000,43.080002,38.561222,7648601
2015-12-11,42.715000,42.910000,41.570000,41.799999,37.415485,8523699
2015-12-14,41.735001,42.299999,40.564999,40.580002,36.323452,11536862
2015-12-15,41.119999,42.529999,41.084999,42.285000,37.849606,9987246
2015-12-16,42.430000,42.799999,41.935001,42.075001,37.661636,7557148
2015-12-17,43.000000,43.025002,41.764999,41.900002,37.504990,8814261
2015-12-18,41.369999,42.349998,41.345001,42.009998,37.603447,14561017
2015-12-21,41.095001,41.910000,40.724998,40.724998,36.990353,8194145
2015-12-22,40.700001,41.049999,40.439999,40.814999,37.072098,6345515
2015-12-23,41.235001,42.200001,41.084999,42.115002,38.252884,8170537
2015-12-24,42.400002,42.450001,41.910000,42.105000,38.243801,1132089
2015-12-28,42.105000,42.195000,41.189999,41.380001,37.585289,3147657
2015-12-29,41.615002,42.290001,41.529999,42.139999,38.275589,4200753
2015-12-30,42.084999,42.255001,41.439999,41.564999,37.753323,3715497
2016-01-04,40.889999,41.695000,40.134998,40.525002,36.808693,9972559
2016-01-05,41.000000,41.180000,39.965000,40.154999,36.472622,7198967
2016-01-06,40.150002,40.165001,39.619999,39.770000,36.122932,9221030
2016-01-07,38.349998,39.165001,37.755001,38.805000,35.246422,11331090
2016-01-08,38.865002,38.950001,37.349998,37.349998,33.924850,9186486
2016-01-11,37.455002,38.445000,37.299999,37.349998,33.924850,7845716
2016-01-12,37.400002,38.450001,36.849998,37.250000,33.834030,8704361
2016-01-13,37.924999,38.785000,37.430000,37.849998,34.379005,8230920
2016-01-14,37.514999,39.494999,37.020000,38.830002,35.269135,11959710
2016-01-15,38.849998,38.889999,37.310001,37.654999,34.201885,12602658
2016-01-18,37.400002,38.865002,37.195000,38.080002,34.587910,8048056
2016-01-19,38.855000,39.474998,38.285000,38.619999,35.078392,8137189
2016-01-20,37.470001,37.615002,36.279999,36.520000,33.170967,11617538
2016-01-21,36.485001,37.830002,36.154999,37.610001,34.161011,10349115
2016-01-22,39.345001,39.889999,38.700001,39.259998,35.659698,12644938
2016-01-25,39.384998,39.470001,38.099998,38.525002,34.992100,7116335
2016-01-26,37.575001,39.700001,37.325001,39.650002,36.013939,8040343
2016-01-27,39.470001,40.150002,38.825001,40.150002,36.468090,6606120
2016-01-28,40.220001,41.244999,39.599998,40.215000,36.527119,11333401
2016-01-29,41.025002,41.349998,40.165001,40.919998,37.167469,9861663
2016-02-01,41.185001,41.360001,39.575001,40.000000,36.331841,6699838
2016-02-02,39.275002,39.500000,37.680000,38.205002,34.701450,9604952
2016-02-03,38.169998,38.680000,37.450001,38.419998,34.896729,8691228
2016-02-04,39.189999,39.865002,38.689999,39.235001,35.636993,10169686
2016-02-05,39.290001,39.639999,38.720001,38.904999,35.337250,8071372
2016-02-08,39.165001,39.244999,37.529999,38.169998,34.669659,10542278
2016-02-09,38.224998,38.599998,36.674999,36.805000,33.429832,11507577
2016-02-10,37.064999,37.505001,36.290001,36.520000,33.170967,10030947
2016-02-11,36.520000,36.615002,35.209999,35.325001,32.085552,10755011
2016-02-12,36.349998,38.000000,36.205002,38.000000,34.515251,15767768
2016-02-15,39.154999,39.660000,38.610001,38.625000,35.082928,11432287
2016-02-16,40.020000,40.200001,38.380001,38.775002,35.219173,12226371
2016-02-17,37.755001,39.345001,37.645000,39.345001,35.736908,13712190
2016-02-18,39.500000,40.099998,39.209999,39.549999,35.923107,10305723
2016-02-19,39.514999,39.915001,39.200001,39.740002,36.095680,9990713
2016-02-22,40.110001,40.895000,40.110001,40.830002,37.085724,7145166
2016-02-23,40.169998,40.915001,39.654999,39.820000,36.168343,7442213
2016-02-24,39.490002,39.599998,38.395000,39.134998,35.546162,8791958
2016-02-25,39.730000,40.400002,39.415001,39.869999,36.213760,7678999
2016-02-26,40.299999,41.395000,40.270000,40.834999,37.090271,7737362
2016-02-29,40.480000,41.389999,40.240002,41.375000,37.580742,8546865
