Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,281.905212,280.852478,335.121948,327.409332,327.409332,null
2015-11-03,363.076019,363.357574,366.660339,366.984833,366.984833,null
2015-11-04,349.287628,350.294891,377.361542,372.128693,372.128693,null
2015-11-05,359.773285,348.341461,358.791962,353.495087,353.495087,null
2015-11-06,345.116455,344.493439,345.130341,344.055695,344.055695,null
2015-11-09,360.309357,352.024200,359.249207,352.078461,352.078461,null
2015-11-10,309.477905,308.748108,315.895233,312.960052,312.960052,null
2015-11-11,283.944550,280.164581,287.674255,288.622559,288.622559,null
2015-11-12,309.160248,310.529602,315.740936,313.268311,313.268311,null
2015-11-13,314.091614,311.052185,314.030518,311.594116,311.594116,null
2015-11-16,316.100128,305.027039,314.613434,308.682678,308.682678,null
2015-11-17,315.847412,314.251587,315.759644,314.446747,314.446747,null
2015-11-18,316.756561,314.315674,315.333435,314.246796,314.246796,null
2015-11-19,306.389801,304.536163,305.384766,305.530945,305.530945,null
2015-11-20,300.138428,300.768829,300.205200,300.312775,300.312775,null
2015-11-23,305.542908,302.235870,306.495544,304.510864,304.510864,null
2015-11-24,301.166290,299.233246,300.812500,300.412750,300.412750,null
2015-11-25,308.133820,309.927765,307.715118,309.004608,309.004608,null
2015-11-26,330.122742,330.837585,336.726868,332.246063,332.246063,null
2015-11-27,338.114014,338.126282,338.662659,337.612854,337.612854,null
2015-11-30,335.640991,336.245209,357.533630,355.957306,355.957306,null
2015-12-01,343.234467,342.276947,341.325500,343.385254,343.385254,null
2015-12-02,338.684143,339.007355,339.389160,337.751251,337.751251,null
2015-12-03,340.605713,342.487274,331.895172,340.544861,340.544861,null
2015-12-04,332.446442,333.311615,332.391693,333.109100,333.109100,null
2015-12-07,357.811554,353.426239,364.851410,362.927521,362.927521,null
2015-12-08,365.023987,364.808868,383.687378,384.843414,384.843414,null
2015-12-09,382.916138,381.833069,380.082703,382.762054,382.762054,null
2015-12-10,377.104279,379.895599,378.570007,377.056946,377.056946,null
2015-12-11,409.380615,410.129089,411.605164,413.761871,413.761871,null
2015-12-14,395.715454,393.915497,402.735748,403.952484,403.952484,null
2015-12-15,420.122955,422.019104,419.439209,422.377441,422.377441,null
2015-12-16,415.197418,415.295288,416.115692,416.861572,416.861572,null
2015-12-17,418.298065,419.862823,419.313751,419.208527,419.208527,null
2015-12-18,427.223267,427.558563,427.037689,426.951630,426.951630,null
2015-12-21,424.409515,400.738007,422.893707,402.956573,402.956573,null
2015-12-22,398.844055,398.504211,397.450043,398.772797,398.772797,null
2015-12-23,404.290619,406.148590,405.296936,404.108154,404.108154,null
2015-12-24,417.158966,416.754944,415.794952,417.795502,417.795502,null
2015-12-25,416.072052,415.538177,415.697937,415.234070,415.234070,null
2015-12-28,380.166840,379.092804,383.582733,384.334290,384.334290,null
2015-12-29,392.334198,392.796204,394.399536,393.448456,393.448456,null
2015-12-30,391.645630,390.101379,391.507446,389.677643,389.677643,null
2015-12-31,393.899200,394.979370,395.191101,394.083008,394.083008,null
2016-01-01,400.212921,399.095947,401.142120,399.501099,399.501099,null
2016-01-04,401.582367,400.370361,398.245850,400.008728,400.008728,null
2016-01-05,400.216614,402.472931,399.662048,399.379883,399.379883,null
2016-01-06,402.275146,400.215424,401.526855,400.197968,400.197968,null
2016-01-07,421.972290,422.126953,423.127472,424.149780,424.149780,null
2016-01-08,416.360352,417.097900,416.287537,414.333374,414.333374,null
2016-01-11,412.184845,412.125977,412.451447,409.449707,409.449707,null
2016-01-12,411.163788,401.884827,409.988403,400.626404,400.626404,null
2016-01-13,399.280365,398.851837,397.867706,398.967712,398.967712,null
2016-01-14,394.763062,395.111359,393.638794,394.588501,394.588501,null
2016-01-15,337.486267,332.481354,344.855652,332.445282,332.445282,null
2016-01-18,350.808075,351.259186,358.550232,352.993561,352.993561,null
2016-01-19,348.948639,346.915558,348.744019,345.863831,345.863831,null
2016-01-20,381.246765,380.495911,385.367859,383.066071,383.066071,null
2016-01-21,377.409698,378.405548,377.348389,377.180511,377.180511,null
2016-01-22,348.102112,349.203766,353.791901,352.264587,352.264587,null
2016-01-25,362.572449,355.966797,362.572357,361.977203,361.977203,null
2016-01-26,363.304413,358.262756,363.299225,360.976624,360.976624,null
2016-01-27,362.961365,357.171936,363.948364,364.222412,364.222412,null
